    x         Ca++       CO3--      Mg++       Cl-        OH-        H2O        zzz        H+         CaCO3aq    MgCO3aq    HCO3-      H2CO3aq    CH4_aq     H2_aq      O2_aq      grafi(s)   CaCO3(s)   CaMgCO32s   c/s       porosity    pH          vx        heads   
  0.380E+00  0.157E-03  0.323E-04  0.164E-03  0.418E-03  0.800E-04  0.553E+02  0.100E-14  0.133E-09  0.640E-05  0.381E-05  0.799E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.390E+00  0.150E-03  0.334E-04  0.129E-03  0.328E-03  0.815E-04  0.553E+02  0.100E-14  0.130E-09  0.642E-05  0.315E-05  0.814E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.400E+00  0.143E-03  0.343E-04  0.989E-04  0.250E-03  0.828E-04  0.553E+02  0.100E-14  0.128E-09  0.642E-05  0.253E-05  0.827E-04  0.221E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.410E+00  0.138E-03  0.350E-04  0.747E-04  0.188E-03  0.839E-04  0.553E+02  0.100E-14  0.126E-09  0.643E-05  0.198E-05  0.838E-04  0.221E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.766E+01  0.937E-05  0.100E-09
  0.420E+00  0.135E-03  0.356E-04  0.561E-04  0.141E-03  0.847E-04  0.553E+02  0.100E-14  0.124E-09  0.644E-05  0.153E-05  0.846E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.430E+00  0.132E-03  0.361E-04  0.403E-04  0.101E-03  0.854E-04  0.553E+02  0.100E-14  0.123E-09  0.646E-05  0.112E-05  0.853E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.440E+00  0.129E-03  0.365E-04  0.287E-04  0.716E-04  0.859E-04  0.553E+02  0.100E-14  0.122E-09  0.645E-05  0.813E-06  0.858E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.450E+00  0.128E-03  0.368E-04  0.204E-04  0.508E-04  0.863E-04  0.553E+02  0.100E-14  0.121E-09  0.646E-05  0.606E-06  0.861E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.460E+00  0.127E-03  0.370E-04  0.143E-04  0.354E-04  0.866E-04  0.553E+02  0.100E-14  0.121E-09  0.648E-05  0.415E-06  0.865E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.470E+00  0.126E-03  0.375E-04  0.961E-05  0.237E-04  0.865E-04  0.553E+02  0.100E-14  0.120E-09  0.643E-05  0.280E-06  0.864E-04  0.225E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.480E+00  0.125E-03  0.372E-04  0.551E-05  0.136E-04  0.869E-04  0.553E+02  0.100E-14  0.120E-09  0.648E-05  0.164E-06  0.868E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.490E+00  0.125E-03  0.374E-04  0.968E-07  0.200E-06  0.872E-04  0.553E+02  0.100E-14  0.120E-09  0.649E-05  0.287E-08  0.871E-04  0.224E-07  0.000E+00  0.000E+00  0.100E-04  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.765E+01  0.937E-05  0.100E-09
  0.500E+00  0.118E-03  0.347E-04  0.100E-29  0.100E-29  0.794E-04  0.550E+02  0.100E-14  0.132E-09  0.576E-05  0.278E-31  0.834E-04  0.258E-07  0.258E-07  0.258E-07  0.258E-07  0.000E+00  0.200E-03  0.000E+00  0.000E+00  0.320E+00  0.759E+01  0.937E-05  0.100E-09
 time =    30000.0000000000     (s)  9.506426344208685E-004(J)
