xCa= 1 xC=0 xO=8 xMg=5 xCl=2
 xCalcite=4 xDolomite=5 xAq_gen=0

Time step: 0  Time, s: 0	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
60	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
61	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
62	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
63	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
64	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
65	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
66	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
67	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
68	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
69	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
70	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
71	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
72	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
73	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
74	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
75	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
76	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
77	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
78	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
79	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
80	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
81	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
82	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
83	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
84	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
85	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
86	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
87	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
88	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
89	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
90	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
91	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
92	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
93	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
94	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
95	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
96	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
97	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
98	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
99	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
100	7.11739	0.0373877	0.0255124	0.545187	38.9452	0.390463	1000	1
Time step: 10  Time, s: 100000	dt = 10000[s]
Node	pH	mCa	mMg	mCl	nCal	nDol	AsDol	SIDol
0	7.63901	0.0100387	0.0529763	0.545193	0	1e-07	1000	7.70364
1	7.55376	0.0123804	0.0506172	0.545192	38.9452	0.390463	1000	5.99316
2	7.38415	0.0188333	0.0441296	0.545191	38.9452	0.390463	1000	3.43443
3	7.24343	0.0269116	0.03602	0.545189	38.9452	0.390463	1000	1.96164
4	7.1651	0.0329746	0.0299379	0.545188	38.9452	0.390463	1000	1.33056
5	7.13162	0.036007	0.0268968	0.545187	38.9452	0.390463	1000	1.0947
6	7.12063	0.0370685	0.0258324	0.545187	38.9452	0.390463	1000	1.02127
